N,シミュレーション,解析解,絶対誤差,相対誤差(%)
1,0.012324,0.012320361607184284,3.638392815715971e-06,0.02952282388604326
2,0.024239,0.024488931904236785,-0.0002499319042367845,-1.0311147499351645
3,0.036159,0.036507581014987155,-0.00034858101498715793,-0.964022829688758
4,0.047649,0.048378156022663224,-0.0007291560226632271,-1.5302651108380598
5,0.059366,0.06010248125375953,-0.0007364812537595244,-1.240577525451478
6,0.070779,0.07168235856190582,-0.0009033585619058204,-1.2763087383345633
7,0.081739,0.08311956761152035,-0.0013805676115203475,-1.6889949858945514
8,0.093273,0.09441586616104236,-0.0011428661610423663,-1.2252915217076392
9,0.104326,0.10557299034555044,-0.0012469903455504389,-1.19528242772697
10,0.11491,0.11659265495858086,-0.0016826549585808592,-1.464324217718962
11,0.126277,0.12747655373297137,-0.0011995537329713701,-0.949938415524102
12,0.136724,0.13822635962056476,-0.0015023596205647471,-1.098826556101889
13,0.146703,0.14884372507061516,-0.0021407250706151626,-1.4592237858906516
14,0.157643,0.15933028230674776,-0.0016872823067477505,-1.070318572183827
15,0.167565,0.16968764360233396,-0.002122643602333968,-1.2667583339802273
16,0.177854,0.17991740155414823,-0.00206340155414822,-1.1601659530560007
17,0.187889,0.19002112935418253,-0.002132129354182527,-1.1347813624972867
18,0.198064,0.20000038105950213,-0.0019363810595021402,-0.9776542226260907
19,0.207512,0.2098566918600333,-0.0023446918600333044,-1.1299066367406725
20,0.216213,0.2195915783441789,-0.003378578344178901,-1.5626157280916972
21,0.226549,0.22920653876216632,-0.002657538762166317,-1.17305252381
22,0.235441,0.23870305328703967,-0.003262053287039657,-1.3855077437827978
23,0.245436,0.24808258427320926,-0.002646584273209268,-1.07831951026307
24,0.254273,0.25734657651248466,-0.0030735765124846326,-1.2087703029753973
25,0.263054,0.26649645748751655,-0.003442457487516537,-1.308650500473871
26,0.272356,0.27553363762258176,-0.003177637622581775,-1.1667220926220736
27,0.281414,0.2844595105316523,-0.003045510531652307,-1.0822171361951811
28,0.289352,0.29327545326368876,-0.003923453263688759,-1.3559447536871212
29,0.298445,0.301982826545111,-0.003537826545110978,-1.1854199417349858
30,0.306106,0.31058297501939613,-0.0044769750193961455,-1.462557094403947
31,0.315606,0.3190772274837635,-0.003471227483763495,-1.0998610557985256
32,0.323168,0.32746689712291066,-0.00429889712291065,-1.3302360143673415
33,0.331766,0.33575328173976304,-0.003987281739763038,-1.2018355526976958
34,0.340728,0.3439376639832103,-0.00320966398321032,-0.9420018264452351
35,0.347582,0.35202131157280503,-0.004439311572805027,-1.2771983511243468
36,0.35473,0.36000547752039713,-0.005275477520397143,-1.4871811012311176
37,0.363133,0.3678914003486909,-0.0047584003486909054,-1.3103739810732997
38,0.371542,0.37568030430670435,-0.004138304306704366,-1.113818708707055
39,0.378748,0.3833733995821219,-0.004625399582121936,-1.2212340612021546
40,0.386828,0.39097188251053255,-0.004143882510532548,-1.0712467842380975
41,0.393672,0.398476935781542,-0.0048049357815419524,-1.2205429346110346
42,0.400455,0.4058897286417614,-0.0054347286417614216,-1.3571384154927324
43,0.407516,0.4132114170946698,-0.005695417094669808,-1.397593491953643
44,0.41522,0.4204431440973497,-0.005223144097349697,-1.2579220888564369
45,0.422334,0.42758603975410403,-0.005252039754104043,-1.2435749321873313
46,0.430434,0.4346412215069596,-0.004207221506959624,-0.9774370767550018
47,0.436482,0.44160979432306346,-0.005127794323063484,-1.1748008676333694
48,0.442952,0.44849285087898677,-0.005540850878986758,-1.2508919429163337
49,0.449502,0.45529147174194634,-0.005789471741946328,-1.287974634583679
50,0.456879,0.4620067255479597,-0.005127725547959705,-1.1223377629437346
51,0.462606,0.46863966917694844,-0.00603366917694842,-1.304278192878696
52,0.469248,0.4751913479248116,-0.005943347924811604,-1.2665686214563736
53,0.475725,0.48166279567248305,-0.005937795672483037,-1.2481571648500789
54,0.482734,0.48805503505200054,-0.0053210350520005445,-1.1022706194302752
55,0.489006,0.49436907760960236,-0.0053630776096023625,-1.096730430629146
56,0.494955,0.5006059239658823,-0.0056509239658823485,-1.1417045925149456
57,0.500579,0.5067665639730212,-0.006187563973021226,-1.2360814123287684
58,0.507096,0.5128519768691272,-0.005755976869127211,-1.1350862300485927
59,0.513834,0.5188631314297081,-0.005029131429708067,-0.9787463324163187
60,0.518479,0.524800986116307,-0.006321986116306966,-1.219333110175526
61,0.524397,0.5306664892223271,-0.006269489222327063,-1.1955616112081233
62,0.530167,0.5364605790160816,-0.006293579016081519,-1.1870936923802347
63,0.536551,0.5421841838810922,-0.005633183881092241,-1.0498878729314158
64,0.54213,0.5478382224536771,-0.005708222453677081,-1.052925027885762
65,0.547476,0.5534236037578488,-0.005947603757848863,-1.0863679426767314
66,0.553097,0.5589412273375721,-0.005844227337572172,-1.056636961974513
67,0.558057,0.5643919833863966,-0.006334983386396598,-1.1351857223180781
68,0.563758,0.5697767528745131,-0.006018752874513145,-1.0676128541879928
69,0.568504,0.5750964076732625,-0.006592407673262524,-1.1596062073903655
70,0.573591,0.580351810677132,-0.006760810677132079,-1.1786814432465083
71,0.57853,0.5855438159232754,-0.007013815923275435,-1.2123512909054734
72,0.58443,0.5906732687085954,-0.006243268708595373,-1.068266295124373
73,0.589694,0.5957410057044209,-0.006047005704420849,-1.0254480636433214
74,0.59409,0.6007478550688162,-0.006657855068816221,-1.1206812215011566
75,0.5997,0.6056946365565637,-0.005994636556563737,-0.9996058957084771
76,0.60428,0.6105821616268494,-0.0063021616268493785,-1.0429207696513831
77,0.60871,0.615411233548695,-0.006701233548695007,-1.100890990569402
78,0.613407,0.6201826475041702,-0.006775647504170146,-1.104592465389235
79,0.618387,0.6248971906894235,-0.0065101906894234896,-1.0527696554784445
80,0.623411,0.6295556424135703,-0.006144642413570267,-0.9856486994246599
81,0.627771,0.6341587741954717,-0.006387774195471763,-1.017532539010525
82,0.632524,0.6387073498584488,-0.006183349858448817,-0.9775676272281869
83,0.636864,0.6432021256229575,-0.006338125622957547,-0.9952086509769035
84,0.640941,0.647643850197278,-0.00670285019727801,-1.0457827159251805
85,0.646028,0.6520332648662404,-0.006005264866240312,-0.9295672735919049
86,0.649763,0.6563711035780319,-0.006608103578031876,-1.017002134321572
87,0.653884,0.6606580930291215,-0.006774093029121464,-1.035977792562819
88,0.65815,0.664894952747339,-0.006744952747338995,-1.0248351815450876
89,0.662895,0.6690823951731408,-0.0061873951731408194,-0.9333899294972535
90,0.666723,0.6732211257391073,-0.006498125739107352,-0.974636504081508
91,0.670071,0.6773118429476986,-0.007240842947698667,-1.0806083157902173
92,0.674832,0.6813552384473124,-0.006523238447312396,-0.9666462834175611
93,0.678827,0.6853519971066738,-0.006524997106673869,-0.9612164964967317
94,0.683366,0.6893027970876,-0.0059367970875999765,-0.8687580429228227
95,0.686719,0.6932083099161632,-0.006489309916163255,-0.9449731136262802
96,0.690028,0.6970692005522987,-0.007041200552298732,-1.0204224397124075
97,0.694448,0.7008861274578889,-0.006438127457888965,-0.9270856072577018
98,0.698442,0.704659742663351,-0.006217742663350956,-0.8902303503155531
99,0.701305,0.7083906918327728,-0.007085691832772856,-1.0103580942347277
100,0.705666,0.712079614327623,-0.006413614327622996,-0.9088739329403706
101,0.708502,0.7157271432690704,-0.007225143269070422,-1.019777399226879
102,0.712256,0.7193339055989483,-0.007077905598948275,-0.9937305686365963
103,0.716301,0.7229005221393909,-0.0065995221393909675,-0.9213336487581294
104,0.719943,0.726427607651181,-0.006484607651180974,-0.900711257860827
105,0.723452,0.7299157708908331,-0.006463770890833165,-0.8934623016914965
106,0.727222,0.7333656146664487,-0.006143614666448638,-0.8448059418511319
107,0.73098,0.7367777358923726,-0.005797735892372646,-0.7931456253758854
108,0.733057,0.7401527256426815,-0.007095725642681572,-0.9679636975953537
109,0.736655,0.7434911692035328,-0.006836169203532805,-0.9280014665661409
110,0.740027,0.7467936461244074,-0.006766646124407361,-0.9143782759828168
111,0.743587,0.7500607302682726,-0.006473730268272582,-0.870608317288035
112,0.746642,0.7532929898606929,-0.006650989860692902,-0.8907869984132826
113,0.749975,0.7564909875379231,-0.006515987537923151,-0.8688272992997302
114,0.753492,0.7596552803940018,-0.006163280394001713,-0.8179622867929205
115,0.75615,0.7627864200268843,-0.00663642002688436,-0.8776591981596721
116,0.759462,0.7658849525836324,-0.0064229525836324575,-0.8457240235367218
117,0.762359,0.7689514188046941,-0.006592418804694078,-0.864739421282372
118,0.765824,0.7719863540672938,-0.006162354067293818,-0.8046697501376059
119,0.768339,0.7749902884279672,-0.00665128842796725,-0.8656710681049966
120,0.77188,0.7779637466642547,-0.006083746664254708,-0.788172599918991
121,0.774758,0.780907248315589,-0.006149248315589051,-0.793699234546665
122,0.777214,0.783821307723396,-0.0066073077233960165,-0.8501272137913132
123,0.780057,0.7867064340704317,-0.006649434070431726,-0.8524292545841811
124,0.782665,0.7895631314193843,-0.006898131419384224,-0.8813644943090879
125,0.786196,0.7923918987507571,-0.006195898750757101,-0.7880857636972334
126,0.788701,0.7951932300000631,-0.006492230000063159,-0.8231547823653272
127,0.792072,0.7979676140943464,-0.0058956140943463575,-0.744328052796508
128,0.794577,0.8007155349880553,-0.0061385349880552775,-0.7725538227327594
129,0.796552,0.8034374716982904,-0.006885471698290346,-0.8644095675223143
130,0.799772,0.8061338983394444,-0.0063618983394443385,-0.7954639996704485
131,0.802747,0.8088052841572585,-0.006058284157258509,-0.7546940888297943
132,0.8052,0.8114520935623103,-0.006252093562310268,-0.776464674901921
133,0.808299,0.8140747861629583,-0.005775786162958263,-0.714560597372787
134,0.810906,0.8166738167977582,-0.005767816797758174,-0.7112805673848971
135,0.813617,0.8192496355673737,-0.0056326355673737005,-0.69229570760858
136,0.815623,0.8218026878659941,-0.006179687865994099,-0.7576647379971015
137,0.818303,0.8243334144122837,-0.006030414412283691,-0.7369415011656674
138,0.820984,0.8268422512798754,-0.005858251279875382,-0.7135646102573717
139,0.823584,0.8293296299274283,-0.005745629927428331,-0.6976373906521169
140,0.825776,0.8317959772282649,-0.006019977228264972,-0.729008499673637
141,0.828175,0.834241715499604,-0.006066715499604025,-0.7325402843123766
142,0.831252,0.836667262531409,-0.005415262531409004,-0.6514585867353105
143,0.83353,0.8390730316148579,-0.005543031614857918,-0.665006852165839
144,0.835746,0.841459431570463,-0.005713431570463001,-0.6836325355386687
145,0.838055,0.8438268667758437,-0.005771866775843737,-0.6887217158591903
146,0.840933,0.8461757371931742,-0.005242737193174141,-0.6234429131897714
147,0.842995,0.8485064383963142,-0.005511438396314183,-0.6537925368850567
148,0.845362,0.8508193615976445,-0.005457361597644539,-0.6455650475943489
149,0.847194,0.8531148936746092,-0.00592089367460924,-0.6988828620846276
150,0.85064,0.8553934171959909,-0.004753417195990983,-0.558804805321991
151,0.851751,0.8576553104479195,-0.005904310447919503,-0.6931967732259197
152,0.854538,0.8599009474596331,-0.005362947459633061,-0.6275844327148776
153,0.856075,0.8621306980290032,-0.006055698029003187,-0.7073793801948646
154,0.859354,0.8643449277478332,-0.004990927747833274,-0.5807766936365308
155,0.861086,0.8665439980269406,-0.00545799802694058,-0.633850512833861
156,0.863873,0.8687282661210403,-0.004855266121040258,-0.5620347112411498
157,0.864877,0.8708980851534269,-0.006021085153426919,-0.6961782026145822
158,0.867348,0.8730538041404835,-0.005705804140483495,-0.6578448489514583
159,0.869429,0.8751957680160101,-0.00576676801601006,-0.6632822250017034
160,0.872068,0.8773243176553922,-0.005256317655392251,-0.6027417191540397
161,0.87471,0.8794397898996138,-0.004729789899613812,-0.5407266293530212
162,0.876862,0.8815425175791248,-0.004680517579124799,-0.533780410044545
163,0.878697,0.8836328295375744,-0.004935829537574432,-0.56172145091817
164,0.880104,0.8857110506554108,-0.0056070506554107835,-0.6370895548038394
165,0.883014,0.8877775018733688,-0.004763501873368825,-0.5394593826789638
166,0.884251,0.889832500215837,-0.005581500215837032,-0.6312122028515695
167,0.886277,0.8918763588141247,-0.005599358814124766,-0.6317842857396464
168,0.888239,0.8939093869296307,-0.005670386929630733,-0.6383852690132648
169,0.890455,0.8959318899769192,-0.005476889976919197,-0.6150664521979434
170,0.893208,0.897944169546715,-0.004736169546714963,-0.5302426250901205
171,0.895453,0.8999465234288196,-0.00449352342881959,-0.5018156652353155
172,0.897079,0.9019392456349535,-0.004860245634953575,-0.5417856883232776
173,0.899112,0.9039226264215386,-0.004810626421538622,-0.5350419548997924
174,0.901321,0.9058969523124151,-0.0045759523124150325,-0.5076939639057597
175,0.902813,0.9078625061215094,-0.0050495061215094506,-0.5593080872239822
176,0.904578,0.9098195669754473,-0.005241566975447309,-0.5794488673665853
177,0.906872,0.9117684103361292,-0.004896410336129198,-0.5399229809862028
178,0.908913,0.9137093080232611,-0.004796308023261142,-0.5276971528915465
179,0.91066,0.9156425282368528,-0.004982528236852746,-0.5471337531957862
180,0.913291,0.9175683355796863,-0.004277335579686348,-0.46834312170889103
181,0.914796,0.9194869910797576,-0.004690991079757567,-0.5127909479006868
182,0.916528,0.9213987522126941,-0.004870752212694063,-0.5314351784881708
183,0.91897,0.9233038729241546,-0.004333872924154658,-0.47160113215389604
184,0.920299,0.9252026036522163,-0.004903603652216315,-0.5328272281308918
185,0.922494,0.9270951913497456,-0.00460119134974557,-0.49877737413420253
186,0.923541,0.9289818795067627,-0.0054408795067627524,-0.589132426905005
187,0.926162,0.9308629081727995,-0.004700908172799445,-0.5075686729534838
188,0.92808,0.9327385139792557,-0.004658513979255652,-0.5019517691638277
189,0.930602,0.9346089301617514,-0.004006930161751354,-0.4305739899281706
190,0.932019,0.9364743865824847,-0.004455386582484677,-0.47803602528324823
191,0.934184,0.9383351097525904,-0.004151109752590365,-0.44435675975935846
192,0.935882,0.940191322854507,-0.004309322854507025,-0.46045578977980395
193,0.937369,0.9420432457643514,-0.004674245764351381,-0.49865589371436236
194,0.940074,0.943891095074302,-0.003817095074302057,-0.4060419790678242
195,0.941717,0.945735084114993,-0.004018084114992937,-0.42667639163282994
196,0.942894,0.9475754229779244,-0.004681422977924399,-0.4964951498179433
197,0.944876,0.9494123185378832,-0.004536318537883166,-0.48009670452875997
198,0.947146,0.9512459744753798,-0.004099974475379797,-0.43287671334512284
199,0.948695,0.9530765912991026,-0.0043815912991026496,-0.46185457909050326
200,0.950609,0.9549043663683882,-0.0042953663683881205,-0.45185416594920946
201,0.952398,0.9567294939157106,-0.004331493915710638,-0.4547987202525245
202,0.954236,0.958552165069187,-0.004316165069186972,-0.45231631055493327
203,0.9561,0.9603725678751052,-0.004272567875105215,-0.446874581644725
204,0.957437,0.9621908873204691,-0.004753887320469108,-0.4965222067320469
205,0.96018,0.9640073053555646,-0.0038273053555645253,-0.3986029031602955
206,0.961354,0.9658220009165431,-0.004468000916543091,-0.4647612551196636
207,0.963274,0.9676351499480299,-0.004361149948029941,-0.4527424126499772
208,0.965175,0.9694469254257468,-0.004271925425746836,-0.4426063072237508
209,0.967526,0.9712574973791589,-0.003731497379158899,-0.3856741192648982
210,0.968285,0.9730670329141393,-0.004782032914139367,-0.49386625984491833
211,0.970938,0.974875696235652,-0.0039376962356519885,-0.40555588880566923
212,0.972456,0.9766836486704569,-0.004227648670456885,-0.4347393270705189
213,0.974266,0.9784910486898291,-0.004225048689829092,-0.433664798918272
214,0.975266,0.9802980519322996,-0.005032051932299608,-0.5159671240768784
215,0.977703,0.9821048112264098,-0.004401811226409813,-0.4502196706371785
216,0.979824,0.9839114766134855,-0.004087476613485519,-0.41716436967103465
217,0.981034,0.985718195370423,-0.004684195370423083,-0.4774753342313399
218,0.983614,0.9875251120324952,-0.003911112032495168,-0.3976267145948683
219,0.985304,0.9893323684161629,-0.004028368416162942,-0.4088452311330252
220,0.987049,0.9911401036419073,-0.0040911036419073454,-0.4144782722952301
221,0.988349,0.9929484541570692,-0.004599454157069194,-0.46536741141734284
222,0.990279,0.9947575537586985,-0.004478553758698434,-0.45225171478931026
223,0.99257,0.9965675336164157,-0.003997533616415749,-0.40274576265812484
224,0.993866,0.9983785222952783,-0.004512522295278321,-0.4540372942910131
225,0.995592,1.0001906457786554,-0.004598645778655319,-0.46190063586844
226,0.997356,1.0020040274911048,-0.0046480274911048225,-0.4660349455064012
227,0.999464,1.0038187883212597,-0.004354788321259684,-0.43571237395841006
228,1.00169,1.0056350466447086,-0.003945046644708627,-0.3938390764316932
229,1.003018,1.0074529183468859,-0.004434918346885919,-0.44215740364439315
230,1.005189,1.0092725168459518,-0.004083516845951651,-0.4062436861079509
231,1.006667,1.0110939531156773,-0.004426953115677312,-0.43976340892045857
232,1.008721,1.0129173357083217,-0.004196335708321675,-0.4160055861156528
233,1.01054,1.014742770777504,-0.0042027707775040835,-0.41589355963188823
234,1.012529,1.0165703621010682,-0.004041362101068202,-0.39913544215209656
235,1.014143,1.0184002111039359,-0.004257211103935843,-0.41978410381335207
236,1.015665,1.0202324168809538,-0.004567416880953745,-0.44969718174336465
237,1.018114,1.0220670762197208,-0.0039530762197208524,-0.388274419143716
238,1.019402,1.0239042836234107,-0.004502283623410763,-0.4416592888194023
239,1.021503,1.0257441313335622,-0.004241131333562187,-0.41518540166423273
240,1.022899,1.027586709352869,-0.004687709352868996,-0.45827685361594805
241,1.024622,1.0294321054679356,-0.004810105467935699,-0.4694517068670885
242,1.027418,1.0312804052720177,-0.003862405272017755,-0.37593319097171307
243,1.028878,1.0331316921877367,-0.004253692187736746,-0.4134301819784995
244,1.030472,1.0349860474897647,-0.004514047489764694,-0.43805629747966895
245,1.032149,1.0368435503274882,-0.004694550327488223,-0.4548326188843106
246,1.034718,1.0387042777476372,-0.003986277747637157,-0.38525257583584677
247,1.036136,1.0405683047168806,-0.0044323047168806085,-0.42777248516416844
248,1.037829,1.0424357041443917,-0.004606704144391793,-0.44387891881916897
249,1.039606,1.044306546904376,-0.004700546904375935,-0.45214695801831994
250,1.041237,1.0461809018585584,-0.004943901858558419,-0.4748104282270434
251,1.043003,1.0480588358786367,-0.005055835878636783,-0.48473838317212736
252,1.044884,1.0499404138686834,-0.005056413868683496,-0.48392107340944035
253,1.047874,1.0518256987875134,-0.003951698787513447,-0.37711583525437664
254,1.04931,1.0537147516709986,-0.00440475167099863,-0.41977601195057995
255,1.051181,1.0556076316543381,-0.004426631654338209,-0.42111031823617523
256,1.052277,1.0575043959942767,-0.005227395994276796,-0.4967699564161144
257,1.054685,1.0594051000912688,-0.004720100091268664,-0.44753647688823334
258,1.056628,1.0613097975115948,-0.004681797511594921,-0.4430885336745687
259,1.058162,1.0632185400094156,-0.005056540009415578,-0.4778606687270548
260,1.060143,1.0651313775487707,-0.004988377548770684,-0.4705381772808653
261,1.06229,1.067048358325515,-0.004758358325515077,-0.4479340223022976
262,1.064617,1.0689695287891974,-0.004352528789197452,-0.40883517633077926
263,1.065803,1.0708949336648705,-0.005091933664870485,-0.47775561383018106
264,1.06776,1.0728246159748378,-0.005064615974837761,-0.4743215680338054
265,1.069138,1.07475861706033,-0.005620617060330124,-0.5257148338502723
266,1.07173,1.076696976603117,-0.004966976603116846,-0.4634540978713711
267,1.072929,1.078639732647038,-0.00571073264703803,-0.5322563419422935
268,1.075021,1.0805869216194683,-0.005565921619468339,-0.5177500364614588
269,1.077683,1.0825385783527102,-0.004855578352710221,-0.4505572002815505
270,1.079031,1.0844947361052923,-0.005463736105292272,-0.5063558049112835
271,1.08054,1.0864554265832096,-0.005915426583209538,-0.5474509581514371
272,1.083457,1.088420679961069,-0.004963679961069056,-0.4581335448540234
273,1.084569,1.0903905249031551,-0.00582152490315524,-0.5367592936138909
274,1.087697,1.092364988584413,-0.004667988584413196,-0.4291625870452154
275,1.089037,1.0943440967113458,-0.005307096711345771,-0.48732014718928474
276,1.091392,1.096327873542817,-0.004935873542817104,-0.4522548765995265
277,1.092849,1.0983163419107709,-0.005467341910770918,-0.500283379567618
278,1.094781,1.1003095232408595,-0.005528523240859506,-0.5049889649947804
279,1.096236,1.1023074375729696,-0.0060714375729695735,-0.5538440238205617
280,1.098772,1.1043101035816647,-0.005538103581664622,-0.5040266389810281
281,1.101007,1.1063175385965236,-0.0053105385965235286,-0.4823346805718336
282,1.102304,1.108329758622382,-0.0060257586223819715,-0.546651252502211
283,1.104862,1.110346778359476,-0.005484778359476028,-0.49642202912907024
284,1.106599,1.112368611223482,-0.005769611223481963,-0.5213822914607696
285,1.1087,1.1143952693654549,-0.005695269365454836,-0.5136889479078953
286,1.111035,1.1164267636916616,-0.005391763691661611,-0.48529197474981534
287,1.112867,1.1184631038833097,-0.005596103883309667,-0.5028546882340537
288,1.114947,1.1205042984161626,-0.005557298416162704,-0.49843610648422787
289,1.116966,1.1225503545800581,-0.005584354580058237,-0.4999574364894041
290,1.119028,1.1246012784983004,-0.005573278498300471,-0.49804638474644713
291,1.120204,1.126657075146955,-0.006453075146954923,-0.5760624981659521
292,1.12314,1.1287177483740223,-0.005577748374022251,-0.4966209354151977
293,1.124489,1.1307833009184995,-0.006294300918499474,-0.5597476648059229
294,1.126524,1.1328537344293248,-0.006329734429324718,-0.5618818977069923
295,1.129153,1.1349290494842066,-0.0057760494842065135,-0.511538248953553
296,1.131095,1.1370092456083354,-0.005914245608335422,-0.5228778845574795
297,1.132409,1.1390943212929723,-0.006685321292972279,-0.5903627834971533
298,1.135569,1.1411842740139195,-0.00561527401391948,-0.49448990012227173
299,1.136731,1.1432791002498701,-0.006548100249870181,-0.5760465976444895
300,1.138392,1.14537879550063,-0.006986795500629972,-0.6137424982457687
301,1.140967,1.1474833543052227,-0.0065163543052226824,-0.5711255720123967
302,1.142609,1.149592770259864,-0.006983770259864075,-0.6112126072754613
303,1.145411,1.1517070360358088,-0.006296036035808861,-0.5496748360028724
304,1.147141,1.153826143397078,-0.006685143397078042,-0.5827656231516476
305,1.149155,1.1559500832180483,-0.006795083218048337,-0.5913112868193009
306,1.151283,1.1580788455009214,-0.0067958455009213825,-0.5902845348121516
307,1.153303,1.1602124193930556,-0.006909419393055671,-0.5990983629675525
308,1.155284,1.1623507932041695,-0.007066793204169475,-0.6116931597918326
309,1.156825,1.164493954423416,-0.007668954423416086,-0.662931249187741
310,1.159826,1.1666418897363189,-0.006815889736318859,-0.5876648511344683
311,1.162318,1.1687945850415775,-0.006476585041577554,-0.557212831736027
312,1.163762,1.1709520254677435,-0.007190025467743499,-0.6178261077216389
313,1.166099,1.1731141953897484,-0.007015195389748374,-0.6015951810050755
314,1.168381,1.1752810784453087,-0.0069000784453088215,-0.5905674985564489
315,1.170484,1.1774526575511886,-0.006968657551188473,-0.5953654685744079
316,1.171955,1.179628914919323,-0.0076739149193230105,-0.6547960390392985
317,1.174415,1.1818098320728117,-0.0073948320728116634,-0.6296609011986106
318,1.176685,1.183995389861761,-0.007310389861761024,-0.6212699118082601
319,1.178564,1.1861855684790004,-0.007621568479000418,-0.6466826136722672
320,1.180935,1.1883803474756527,-0.0074453474756526195,-0.6304620894166587
321,1.182447,1.19057970577656,-0.00813270577655989,-0.6877860721503704
322,1.184791,1.19278362169558,-0.007992621695580127,-0.6746018239149459
323,1.187854,1.1949920729507308,-0.007138072950730878,-0.6009217421274735
